,6.37,-501125
177,00:28,6.36,-501197
177,00:28,6.36,-501101
177,00:28,6.36,-501117
177,00:28,6.36,-501189
177,00:28,6.37,-500981
177,00:28,6.38,-501093
177,00:29,6.37,-500999
177,00:29,6.38,-500944
177,00:29,6.37,-501025
177,00:29,6.37,-501111
177,00:29,6.38,-501011
177,00:29,6.39,-501090
177,00:29,6.36,-501149
177,00:29,6.36,-500948
177,00:29,6.39,-500988
177,00:29,6.38,-501040
177,00:29,6.37,-501048
177,00:29,6.38,-500994
177,00:29,6.38,-500990
177,00:29,6.39,-500949
177,00:29,6.37,-501057
177,00:29,6.38,-501119
177,00:29,6.35,-501183
177,00:29,6.36,-501095
177,00:29,6.36,-501139
177,00:29,6.38,-500925
177,00:29,6.39,-500992
177,00:29,6.37,-501079
177,00:29,6.37,-501086
177,00:29,6.36,-501029
177,00:29,6.37,-501044
177,00:29,6.36,-501146
177,00:29,6.38,-501012
177,00:29,6.37,-501096
177,00:29,6.37,-501057
177,00:29,6.37,-501248
177,00:29,6.35,-501105
177,00:29,6.37,-500892
177,00:29,6.39,-500994
177,00:29,6.38,-501132
177,00:29,6.36,-501009
177,00:29,6.36,-501277
177,00:29,6.35,-501137
177,00:29,6.37,-501065
177,00:29,6.37,-500983
177,00:29,6.37,-500990
177,00:30,6.37,-501091
177,00:30,6.37,-501193
177,00:30,6.36,-501182
177,00:30,6.36,-501136
177,00:30,6.38,-501031
177,00:30,6.38,-501021
177,00:30,6.37,-501204
177,00:30,6.36,-501084
177,00:30,6.36,-501077
177,00:30,6.37,-501129
177,00:30,6.37,-501107
177,00:30,6.37,-501085
177,00:30,6.38,-500962
177,00:30,6.38,-501159
177,00:30,6.35,-501197
177,00:30,6.37,-501183
177,00:30,6.36,-501187
177,00:30,6.36,-501166
177,00:30,6.36,-501237
177,00:30,6.36,-501023
177,00:30,6.38,-501098
177,00:30,6.37,-501155
177,00:30,6.37,-501175
177,00:30,6.36,-501011
177,00:30,6.39,-500911
177,00:30,6.38,-500966
177,00:30,6.38,-501052
177,00:30,6.36,-501152
177,00:30,6.36,-501162
177,00:30,6.36,-501183
177,00:30,6.37,-501063
177,00:30,6.37,-500962
177,00:30,6.38,-501026
177,00:30,6.37,-501061
177,00:30,6.36,-501121
177,00:30,6.37,-501170
177,00:30,6.38,-500893
177,00:30,6.37,-501149
177,00:30,6.38,-500986
177,00:30,6.36,-501225
177,00:31,6.36,-501009
177,00:31,6.36,-501069
177,00:31,6.38,-500991
177,00:31,6.38,-501085
177,00:31,6.36,-501121
177,00:31,6.38,-500919
177,00:31,6.37,-501077
177,00:31,6.37,-500985
177,00:31,6.37,-501125
177,00:31,6.38,-501160
177,00:31,6.35,-501192
177,00:31,6.38,-501056
177,00:31,6.37,-500998
177,00:31,6.38,-501130
177,00:31,6.37,-500989
177,00:31,6.36,-501199
177,00:31,6.35,-501144
177,00:31,6.36,-501178
177,00:31,6.38,-501096
177,00:31,6.37,-501129
177,00:31,6.37,-500987
177,00:31,6.38,-500989
177,00:31,6.37,-501017
177,00:31,6.36,-501164
177,00:31,6.37,-501018
177,00:31,6.37,-501146
177,00:31,6.37,-501172
177,00:31,6.37,-501040
177,00:31,6.37,-501036
177,00:31,6.38,-501054
177,00:31,6.36,-501150
177,00:31,6.36,-501145
177,00:31,6.37,-501075
177,00:31,6.37,-501053
177,00:31,6.37,-501008
177,00:31,6.38,-501066
177,00:31,6.37,-500946
177,00:31,6.39,-501022
177,00:31,6.38,-500976
177,00:31,6.39,-500972
177,00:32,6.37,-500972
177,00:32,6.38,-501115
177,00:32,6.35,-501100
177,00:32,6.39,-501057
177,00:32,6.37,-501027
177,00:32,6.38,-500939
177,00:32,6.36,-501147
177,00:32,6.38,-501032
177,00:32,6.37,-501085
177,00:32,6.37,-501032
177,00:32,6.38,-501082
177,00:32,6.37,-501052
177,00:32,6.38,-500967
177,00:32,6.37,-501113
177,00:32,6.37,-501029
177,00:32,6.38,-501041
177,00:32,6.36,-501049
177,00:32,6.37,-501104
177,00:32,6.38,-501026
177,00:32,6.38,-500999
177,00:32,6.37,-501092
177,00:32,6.36,-501130
177,00:32,6.37,-501091
177,00:32,6.37,-501130
177,00:32,6.37,-501086
177,00:32,6.37,-501094
177,00:32,6.38,-500960
177,00:32,6.37,-501022
177,00:32,6.38,-500988
177,00:32,6.37,-501026
177,00:32,6.37,-501056
177,00:32,6.39,-500988
177,00:32,6.37,-501198
177,00:32,6.38,-500993
177,00:32,6.37,-501059
177,00:32,6.37,-501135
177,00:32,6.37,-501102
177,00:32,6.37,-501041
177,00:32,6.37,-501108
177,00:32,6.35,-501199
177,00:33,6.37,-501099
